img,Predictions,Prediction time (s),flag,username,timestamp
F:\Git_Clone\Learning-Pytorch\flagged\img\tmpq3fa70wt.jpg,F:\Git_Clone\Learning-Pytorch\flagged\Predictions\tmpq_ey5xaa.json,0.22941,,,2023-06-12 17:33:22.816555
F:\Git_Clone\Learning-Pytorch\flagged\img\tmpis88u_8_.jpg,F:\Git_Clone\Learning-Pytorch\flagged\Predictions\tmp6idnqkqa.json,0.1854,,,2023-06-12 17:33:23.760982
